,fermi_alpha,fermi_b,social_factor,connections_perstep,opinion_max_diff,happiness_threshold,Run,Replicates,Network Modularity,Leibovici Entropy Index,Altieri Entropy Index
0,7.21875,7.2265625,0.96484375,1,6.44921875,0.41015625,0.0,0.07687525590477384,0.07309623170467226,0.057640798839944926,0.0
1,7.21875,7.2265625,0.96484375,4,9.47265625,0.41015625,1.0,0.11085525967012794,0.10682902828068973,1.1102230246251565e-16,0.0
2,7.21875,7.2265625,0.96484375,4,6.44921875,0.69140625,2.0,0.1309783783807526,0.11137995634961304,1.1102230246251565e-16,0.0
3,5.28125,2.3046875,0.93359375,1,9.47265625,0.69140625,3.0,0.1309783783807526,0.11137995634961304,1.1102230246251565e-16,0.0
4,9.21875,4.7265625,0.21484375,1,8.69921875,0.16015625,4.0,0.19077403021932196,0.1480735180564409,0.05671628386512762,0.0
5,7.28125,4.7265625,0.21484375,1,8.69921875,0.16015625,5.0,0.19077403021932196,0.1480735180564409,0.05671628386512762,0.0
6,9.21875,4.8046875,0.21484375,1,8.69921875,0.16015625,6.0,0.18277615906207426,0.1642645312228189,0.06050118048430471,0.0
7,9.21875,4.7265625,0.68359375,1,8.69921875,0.16015625,7.0,0.1654463665542996,0.1563549807493992,0.058035652794420516,0.0
8,9.21875,4.7265625,0.21484375,2,8.69921875,0.16015625,8.0,0.22526596237131727,0.17508442790295145,0.02809053418728937,0.0
9,9.21875,4.7265625,0.21484375,1,7.22265625,0.16015625,9.0,0.2180915328535243,0.20196865785642285,0.05823061022603889,0.0
10,7.21875,7.2265625,0.96484375,1,6.44921875,0.41015625,10.0,0.2180915328535243,0.20196865785642285,0.05823061022603889,1.0
11,7.21875,7.2265625,0.96484375,4,9.47265625,0.41015625,11.0,0.2180915328535243,0.20196865785642285,0.05823061022603889,1.0
12,7.21875,7.2265625,0.96484375,4,6.44921875,0.69140625,12.0,0.2180915328535243,0.20196865785642285,0.05823061022603889,1.0
13,5.28125,2.3046875,0.93359375,1,9.47265625,0.69140625,13.0,0.2180915328535243,0.20196865785642285,0.05823061022603889,1.0
14,9.21875,4.7265625,0.21484375,1,8.69921875,0.16015625,14.0,0.18459986403636938,0.20709891919161305,0.05715997948635445,1.0
15,7.28125,4.7265625,0.21484375,1,8.69921875,0.16015625,15.0,0.18459986403636938,0.20709891919161305,0.05715997948635445,1.0
16,9.21875,4.8046875,0.21484375,1,8.69921875,0.16015625,16.0,0.1893983215657287,0.18727059432150883,0.059074466091269096,1.0
17,9.21875,4.7265625,0.68359375,1,8.69921875,0.16015625,17.0,0.12456452825440076,0.1434091822759287,0.05919890698967796,1.0
18,9.21875,4.7265625,0.21484375,2,8.69921875,0.16015625,18.0,0.20862257940589343,0.183464154379004,0.02804469353748519,1.0
19,9.21875,4.7265625,0.21484375,1,7.22265625,0.16015625,19.0,0.23643374760285343,0.1715276482661075,0.05637467123403875,1.0
20,7.21875,7.2265625,0.96484375,1,6.44921875,0.41015625,20.0,0.20862257940589343,0.183464154379004,0.02804469353748519,2.0
21,7.21875,7.2265625,0.96484375,4,9.47265625,0.41015625,21.0,0.18277615906207426,0.1642645312228189,0.06050118048430471,2.0
22,7.21875,7.2265625,0.96484375,4,6.44921875,0.69140625,22.0,0.1654463665542996,0.1563549807493992,0.058035652794420516,2.0
23,5.28125,2.3046875,0.93359375,1,9.47265625,0.69140625,23.0,0.22526596237131727,0.17508442790295145,0.02809053418728937,2.0
24,9.21875,4.7265625,0.21484375,1,8.69921875,0.16015625,24.0,0.32003290085717784,0.26833980934543,0.05830485743362056,2.0
25,7.28125,4.7265625,0.21484375,1,8.69921875,0.16015625,25.0,0.2180915328535243,0.20196865785642285,0.05823061022603889,2.0
26,9.21875,4.8046875,0.21484375,1,8.69921875,0.16015625,26.0,0.1621537647734659,0.15585191919427785,0.058860905721260494,2.0
27,9.21875,4.7265625,0.68359375,1,8.69921875,0.16015625,27.0,0.21826382558846855,0.1998530995961363,0.05973998081868133,2.0
28,9.21875,4.7265625,0.21484375,2,8.69921875,0.16015625,28.0,0.19995856620270294,0.1542289224585775,0.02689477147708893,2.0
29,9.21875,4.7265625,0.21484375,1,7.22265625,0.16015625,29.0,0.22958230045280756,0.1815375114392291,0.05761102867145264,2.0
30,7.21875,7.2265625,0.96484375,1,6.44921875,0.41015625,30.0,0.22526596237131727,0.17508442790295145,0.02809053418728937,3.0
31,7.21875,7.2265625,0.96484375,4,9.47265625,0.41015625,31.0,0.19077403021932196,0.1480735180564409,0.05671628386512762,3.0
32,7.21875,7.2265625,0.96484375,4,6.44921875,0.69140625,32.0,0.1893983215657287,0.18727059432150883,0.059074466091269096,3.0
33,5.28125,2.3046875,0.93359375,1,9.47265625,0.69140625,33.0,0.1893983215657287,0.18727059432150883,0.059074466091269096,3.0
34,9.21875,4.7265625,0.21484375,1,8.69921875,0.16015625,34.0,0.1512334787565528,0.1280910069821103,0.05614170089694483,3.0
35,7.28125,4.7265625,0.21484375,1,8.69921875,0.16015625,35.0,0.12456452825440076,0.1434091822759287,0.05919890698967796,3.0
36,9.21875,4.8046875,0.21484375,1,8.69921875,0.16015625,36.0,0.12400495089826939,0.09656585132970129,0.05542756817462583,3.0
37,9.21875,4.7265625,0.68359375,1,8.69921875,0.16015625,37.0,0.18383322515271255,0.15234504680011512,0.053883101881097045,3.0
38,9.21875,4.7265625,0.21484375,2,8.69921875,0.16015625,38.0,0.28108248662625995,0.2852303313526045,0.026797545301483056,3.0
39,9.21875,4.7265625,0.21484375,1,7.22265625,0.16015625,39.0,0.07975766553122353,0.08380549838979807,0.05640692541382718,3.0
40,7.21875,7.2265625,0.96484375,1,6.44921875,0.41015625,40.0,0.1621537647734659,0.15585191919427785,0.058860905721260494,4.0
41,7.21875,7.2265625,0.96484375,4,9.47265625,0.41015625,41.0,0.21826382558846855,0.1998530995961363,0.05973998081868133,4.0
42,7.21875,7.2265625,0.96484375,4,6.44921875,0.69140625,42.0,0.21826382558846855,0.1998530995961363,0.05973998081868133,4.0
43,5.28125,2.3046875,0.93359375,1,9.47265625,0.69140625,43.0,0.19995856620270294,0.1542289224585775,0.02689477147708893,4.0
44,9.21875,4.7265625,0.21484375,1,8.69921875,0.16015625,44.0,0.17479016389251165,0.05419027153259021,0.05391536358349644,4.0
45,7.28125,4.7265625,0.21484375,1,8.69921875,0.16015625,45.0,0.2180915328535243,0.20196865785642285,0.05823061022603889,4.0
46,9.21875,4.8046875,0.21484375,1,8.69921875,0.16015625,46.0,0.1236834171557011,0.10754165318060611,0.060425826708115554,4.0
47,9.21875,4.7265625,0.68359375,1,8.69921875,0.16015625,47.0,0.11788603849621473,0.09977384679026587,0.06020908089773301,4.0
48,9.21875,4.7265625,0.21484375,2,8.69921875,0.16015625,48.0,0.11220869350822163,0.12309238573773887,0.027226359460981984,4.0
49,9.21875,4.7265625,0.21484375,1,7.22265625,0.16015625,49.0,0.0,0.0,0.05694892615636046,4.0
