,fermi_alpha,fermi_b,social_factor,connections_perstep,opinion_max_diff,happiness_threshold,Run,Replicates,Network Modularity,Leibovici Entropy Index,Altieri Entropy Index
0,4.21875,3.4765625,0.83984375,3,5.32421875,0.78515625,0.0,0.1602168402531571,0.14393131829132833,0.012590660364644096,0.0
1,6.28125,3.4765625,0.83984375,3,5.32421875,0.78515625,1.0,0.3073643891683581,0.22086537025400618,0.012518367127515778,0.0
2,4.21875,3.5546875,0.83984375,3,5.32421875,0.78515625,2.0,0.3073643891683581,0.22086537025400618,0.012518367127515778,0.0
3,4.21875,3.4765625,0.55859375,3,5.32421875,0.78515625,3.0,0.3073643891683581,0.22086537025400618,0.012518367127515778,0.0
4,4.21875,3.4765625,0.83984375,1,5.32421875,0.78515625,4.0,0.3073643891683581,0.22086537025400618,0.012518367127515778,0.0
5,4.21875,3.4765625,0.83984375,3,6.09765625,0.78515625,5.0,0.3073643891683581,0.22086537025400618,0.012518367127515778,0.0
6,4.21875,3.4765625,0.83984375,3,5.32421875,0.31640625,6.0,0.3073643891683581,0.22086537025400618,0.012518367127515778,0.0
7,6.28125,3.5546875,0.55859375,1,6.09765625,0.31640625,7.0,0.1259187333697644,0.1193873643762893,0.05891207691799174,0.0
8,8.21875,8.4765625,0.33984375,1,9.82421875,0.28515625,8.0,0.18510519217054844,0.18546453552211162,0.05861879919763724,0.0
9,2.28125,8.4765625,0.33984375,1,9.82421875,0.28515625,9.0,0.18510519217054844,0.18546453552211162,0.05861879919763724,0.0
10,4.21875,3.4765625,0.83984375,3,5.32421875,0.78515625,10.0,0.18510519217054844,0.18546453552211162,0.05861879919763724,1.0
11,6.28125,3.4765625,0.83984375,3,5.32421875,0.78515625,11.0,0.18510519217054844,0.18546453552211162,0.05861879919763724,1.0
12,4.21875,3.5546875,0.83984375,3,5.32421875,0.78515625,12.0,0.18510519217054844,0.18546453552211162,0.05861879919763724,1.0
13,4.21875,3.4765625,0.55859375,3,5.32421875,0.78515625,13.0,0.18510519217054844,0.18546453552211162,0.05861879919763724,1.0
14,4.21875,3.4765625,0.83984375,1,5.32421875,0.78515625,14.0,0.18510519217054844,0.18546453552211162,0.05861879919763724,1.0
15,4.21875,3.4765625,0.83984375,3,6.09765625,0.78515625,15.0,0.18510519217054844,0.18546453552211162,0.05861879919763724,1.0
16,4.21875,3.4765625,0.83984375,3,5.32421875,0.31640625,16.0,0.18510519217054844,0.18546453552211162,0.05861879919763724,1.0
17,6.28125,3.5546875,0.55859375,1,6.09765625,0.31640625,17.0,0.18510519217054844,0.18546453552211162,0.05861879919763724,1.0
18,8.21875,8.4765625,0.33984375,1,9.82421875,0.28515625,18.0,0.33969238588964784,0.2319208545135029,0.056223875778704205,1.0
19,2.28125,8.4765625,0.33984375,1,9.82421875,0.28515625,19.0,0.18510519217054844,0.18546453552211162,0.05861879919763724,1.0
20,4.21875,3.4765625,0.83984375,3,5.32421875,0.78515625,20.0,0.18510519217054844,0.18546453552211162,0.05861879919763724,2.0
21,6.28125,3.4765625,0.83984375,3,5.32421875,0.78515625,21.0,0.18510519217054844,0.18546453552211162,0.05861879919763724,2.0
22,4.21875,3.5546875,0.83984375,3,5.32421875,0.78515625,22.0,0.18510519217054844,0.18546453552211162,0.05861879919763724,2.0
23,4.21875,3.4765625,0.55859375,3,5.32421875,0.78515625,23.0,0.33969238588964784,0.2319208545135029,0.056223875778704205,2.0
24,4.21875,3.4765625,0.83984375,1,5.32421875,0.78515625,24.0,0.33969238588964784,0.2319208545135029,0.056223875778704205,2.0
25,4.21875,3.4765625,0.83984375,3,6.09765625,0.78515625,25.0,0.33969238588964784,0.2319208545135029,0.056223875778704205,2.0
26,4.21875,3.4765625,0.83984375,3,5.32421875,0.31640625,26.0,0.33969238588964784,0.2319208545135029,0.056223875778704205,2.0
27,6.28125,3.5546875,0.55859375,1,6.09765625,0.31640625,27.0,0.33969238588964784,0.2319208545135029,0.056223875778704205,2.0
28,8.21875,8.4765625,0.33984375,1,9.82421875,0.28515625,28.0,0.20930227953158959,0.20582796652616406,0.056036597145060124,2.0
29,2.28125,8.4765625,0.33984375,1,9.82421875,0.28515625,29.0,0.20930227953158959,0.20582796652616406,0.056036597145060124,2.0
30,4.21875,3.4765625,0.83984375,3,5.32421875,0.78515625,30.0,0.20930227953158959,0.20582796652616406,0.056036597145060124,3.0
31,6.28125,3.4765625,0.83984375,3,5.32421875,0.78515625,31.0,0.20930227953158959,0.20582796652616406,0.056036597145060124,3.0
32,4.21875,3.5546875,0.83984375,3,5.32421875,0.78515625,32.0,0.18510519217054844,0.18546453552211162,0.05861879919763724,3.0
33,4.21875,3.4765625,0.55859375,3,5.32421875,0.78515625,33.0,0.20930227953158959,0.20582796652616406,0.056036597145060124,3.0
34,4.21875,3.4765625,0.83984375,1,5.32421875,0.78515625,34.0,0.18510519217054844,0.18546453552211162,0.05861879919763724,3.0
35,4.21875,3.4765625,0.83984375,3,6.09765625,0.78515625,35.0,0.33969238588964784,0.2319208545135029,0.056223875778704205,3.0
36,4.21875,3.4765625,0.83984375,3,5.32421875,0.31640625,36.0,0.33969238588964784,0.2319208545135029,0.056223875778704205,3.0
37,6.28125,3.5546875,0.55859375,1,6.09765625,0.31640625,37.0,0.33969238588964784,0.2319208545135029,0.056223875778704205,3.0
38,8.21875,8.4765625,0.33984375,1,9.82421875,0.28515625,38.0,0.10090835224706085,0.10532162501471372,0.05548097612738096,3.0
