,fermi_alpha,fermi_b,social_factor,connections_perstep,opinion_max_diff,happiness_threshold,Run,Replicates,Network Modularity,Leibovici Entropy Index,Altieri Entropy Index
0,7.90625,9.4140625,0.00390625,4,6.94140625,0.77734375,0.0,0.26561531864953974,0.23246607709590278,0.0,0.0
1,7.90625,4.1796875,0.98828125,4,6.94140625,0.77734375,1.0,0.13147693232056934,0.09129333345723384,0.0,0.0
2,7.90625,4.1796875,0.00390625,3,6.94140625,0.77734375,2.0,0.6831570218050104,0.560779152874345,0.01172656436333025,0.0
3,7.90625,4.1796875,0.00390625,4,5.18359375,0.77734375,3.0,0.14612504634189558,0.13599456795433432,0.0,0.0
4,7.90625,4.1796875,0.00390625,4,6.94140625,0.30859375,4.0,0.2770271709144769,0.26515574922740925,0.0,0.0
5,8.96875,9.4140625,0.98828125,3,5.18359375,0.30859375,5.0,0.19667992791434766,0.18197216268683591,0.007359399983252635,0.0
6,3.90625,9.1796875,0.50390625,2,2.44140625,0.27734375,6.0,0.19667992791434766,0.18197216268683591,0.007359399983252635,0.0
7,4.96875,9.1796875,0.50390625,2,2.44140625,0.27734375,7.0,0.19667992791434766,0.18197216268683591,0.007359399983252635,0.0
8,3.90625,4.4140625,0.50390625,2,2.44140625,0.27734375,8.0,0.19667992791434766,0.18197216268683591,0.007359399983252635,0.0
9,3.90625,9.1796875,0.48828125,2,2.44140625,0.27734375,9.0,0.19667992791434766,0.18197216268683591,0.007359399983252635,0.0
10,7.90625,9.4140625,0.00390625,4,6.94140625,0.77734375,10.0,0.19667992791434766,0.18197216268683591,0.007359399983252635,1.0
11,7.90625,4.1796875,0.98828125,4,6.94140625,0.77734375,11.0,0.19667992791434766,0.18197216268683591,0.007359399983252635,1.0
12,7.90625,4.1796875,0.00390625,3,6.94140625,0.77734375,12.0,0.19667992791434766,0.18197216268683591,0.007359399983252635,1.0
13,7.90625,4.1796875,0.00390625,4,5.18359375,0.77734375,13.0,0.19667992791434766,0.18197216268683591,0.007359399983252635,1.0
14,7.90625,4.1796875,0.00390625,4,6.94140625,0.30859375,14.0,0.19667992791434766,0.18197216268683591,0.007359399983252635,1.0
15,8.96875,9.4140625,0.98828125,3,5.18359375,0.30859375,15.0,0.25917477767387714,0.23150591902754372,0.0062163151695603935,1.0
16,3.90625,9.1796875,0.50390625,2,2.44140625,0.27734375,16.0,0.25917477767387714,0.23150591902754372,0.0062163151695603935,1.0
17,4.96875,9.1796875,0.50390625,2,2.44140625,0.27734375,17.0,0.19667992791434766,0.18197216268683591,0.007359399983252635,1.0
18,3.90625,4.4140625,0.50390625,2,2.44140625,0.27734375,18.0,0.25917477767387714,0.23150591902754372,0.0062163151695603935,1.0
19,3.90625,9.1796875,0.48828125,2,2.44140625,0.27734375,19.0,0.19667992791434766,0.18197216268683591,0.007359399983252635,1.0
20,7.90625,9.4140625,0.00390625,4,6.94140625,0.77734375,20.0,0.25917477767387714,0.23150591902754372,0.0062163151695603935,2.0
21,7.90625,4.1796875,0.98828125,4,6.94140625,0.77734375,21.0,0.25917477767387714,0.23150591902754372,0.0062163151695603935,2.0
22,7.90625,4.1796875,0.00390625,3,6.94140625,0.77734375,22.0,0.19667992791434766,0.18197216268683591,0.007359399983252635,2.0
23,7.90625,4.1796875,0.00390625,4,5.18359375,0.77734375,23.0,0.19667992791434766,0.18197216268683591,0.007359399983252635,2.0
24,7.90625,4.1796875,0.00390625,4,6.94140625,0.30859375,24.0,0.19667992791434766,0.18197216268683591,0.007359399983252635,2.0
25,8.96875,9.4140625,0.98828125,3,5.18359375,0.30859375,25.0,0.13246501754580356,0.13396783591936506,0.006999145633765358,2.0
26,3.90625,9.1796875,0.50390625,2,2.44140625,0.27734375,26.0,0.19667992791434766,0.18197216268683591,0.007359399983252635,2.0
27,4.96875,9.1796875,0.50390625,2,2.44140625,0.27734375,27.0,0.25917477767387714,0.23150591902754372,0.0062163151695603935,2.0
28,3.90625,4.4140625,0.50390625,2,2.44140625,0.27734375,28.0,0.25917477767387714,0.23150591902754372,0.0062163151695603935,2.0
29,3.90625,9.1796875,0.48828125,2,2.44140625,0.27734375,29.0,0.25917477767387714,0.23150591902754372,0.0062163151695603935,2.0
30,7.90625,9.4140625,0.00390625,4,6.94140625,0.77734375,30.0,0.25917477767387714,0.23150591902754372,0.0062163151695603935,3.0
31,7.90625,4.1796875,0.98828125,4,6.94140625,0.77734375,31.0,0.25917477767387714,0.23150591902754372,0.0062163151695603935,3.0
32,7.90625,4.1796875,0.00390625,3,6.94140625,0.77734375,32.0,0.19667992791434766,0.18197216268683591,0.007359399983252635,3.0
33,7.90625,4.1796875,0.00390625,4,5.18359375,0.77734375,33.0,0.19667992791434766,0.18197216268683591,0.007359399983252635,3.0
34,7.90625,4.1796875,0.00390625,4,6.94140625,0.30859375,34.0,0.19667992791434766,0.18197216268683591,0.007359399983252635,3.0
35,8.96875,9.4140625,0.98828125,3,5.18359375,0.30859375,35.0,0.17077551508206992,0.1620590560271984,0.007579754732607524,3.0
36,3.90625,9.1796875,0.50390625,2,2.44140625,0.27734375,36.0,0.25917477767387714,0.23150591902754372,0.0062163151695603935,3.0
37,4.96875,9.1796875,0.50390625,2,2.44140625,0.27734375,37.0,0.13246501754580356,0.13396783591936506,0.006999145633765358,3.0
38,3.90625,4.4140625,0.50390625,2,2.44140625,0.27734375,38.0,0.17077551508206992,0.1620590560271984,0.007579754732607524,3.0
39,3.90625,9.1796875,0.48828125,2,2.44140625,0.27734375,39.0,0.13246501754580356,0.13396783591936506,0.006999145633765358,3.0
40,7.90625,9.4140625,0.00390625,4,6.94140625,0.77734375,40.0,0.13246501754580356,0.13396783591936506,0.006999145633765358,4.0
41,7.90625,4.1796875,0.98828125,4,6.94140625,0.77734375,41.0,0.13246501754580356,0.13396783591936506,0.006999145633765358,4.0
42,7.90625,4.1796875,0.00390625,3,6.94140625,0.77734375,42.0,0.13246501754580356,0.13396783591936506,0.006999145633765358,4.0
43,7.90625,4.1796875,0.00390625,4,5.18359375,0.77734375,43.0,0.13246501754580356,0.13396783591936506,0.006999145633765358,4.0
