,fermi_alpha,fermi_b,social_factor,connections_perstep,opinion_max_diff,happiness_threshold,Run,Replicates,Network Modularity,Leibovici Entropy Index,Altieri Entropy Index
0,2.53125,0.5859375,0.33203125,4,2.58203125,0.79296875,0.0,0.4099472623157784,0.2956486935094174,0.05398848421017696,0.0
1,2.53125,0.5859375,0.33203125,4,2.79296875,0.79296875,1.0,0.3641327900189439,0.22930671228735588,0.05332971620581313,0.0
2,2.53125,0.5859375,0.33203125,4,2.58203125,0.10546875,2.0,1.1881079838477826,0.8586417888697513,0.12608426694860583,0.0
3,3.59375,4.8828125,0.12890625,4,2.79296875,0.10546875,3.0,0.782196154541039,0.5529813329404962,0.00807087734463921,0.0
4,6.53125,5.5859375,0.83203125,2,7.08203125,0.29296875,4.0,0.2691333824209493,0.2218397542044491,0.026318670477861232,0.0
5,7.59375,5.5859375,0.83203125,2,7.08203125,0.29296875,5.0,0.09530380210104199,0.04394483105876969,0.02761433363360946,0.0
6,6.53125,9.8828125,0.83203125,2,7.08203125,0.29296875,6.0,0.09530380210104199,0.04394483105876969,0.02761433363360946,0.0
7,6.53125,5.5859375,0.62890625,2,7.08203125,0.29296875,7.0,0.09530380210104199,0.04394483105876969,0.02761433363360946,0.0
8,6.53125,5.5859375,0.83203125,2,7.08203125,0.29296875,8.0,0.09530380210104199,0.04394483105876969,0.02761433363360946,0.0
9,6.53125,5.5859375,0.83203125,2,7.29296875,0.29296875,9.0,0.09530380210104199,0.04394483105876969,0.02761433363360946,0.0
10,2.53125,0.5859375,0.33203125,4,2.58203125,0.79296875,10.0,0.09530380210104199,0.04394483105876969,0.02761433363360946,1.0
11,2.53125,0.5859375,0.33203125,4,2.79296875,0.79296875,11.0,0.09530380210104199,0.04394483105876969,0.02761433363360946,1.0
12,2.53125,0.5859375,0.33203125,4,2.58203125,0.10546875,12.0,0.09530380210104199,0.04394483105876969,0.02761433363360946,1.0
13,3.59375,4.8828125,0.12890625,4,2.79296875,0.10546875,13.0,0.09530380210104199,0.04394483105876969,0.02761433363360946,1.0
14,6.53125,5.5859375,0.83203125,2,7.08203125,0.29296875,14.0,0.09530380210104199,0.04394483105876969,0.02761433363360946,1.0
15,7.59375,5.5859375,0.83203125,2,7.08203125,0.29296875,15.0,0.18399711002006816,0.19615505451272824,0.02750699307050527,1.0
16,6.53125,9.8828125,0.83203125,2,7.08203125,0.29296875,16.0,0.09530380210104199,0.04394483105876969,0.02761433363360946,1.0
17,6.53125,5.5859375,0.62890625,2,7.08203125,0.29296875,17.0,0.18399711002006816,0.19615505451272824,0.02750699307050527,1.0
18,6.53125,5.5859375,0.83203125,2,7.08203125,0.29296875,18.0,0.18399711002006816,0.19615505451272824,0.02750699307050527,1.0
19,6.53125,5.5859375,0.83203125,2,7.29296875,0.29296875,19.0,0.09530380210104199,0.04394483105876969,0.02761433363360946,1.0
20,2.53125,0.5859375,0.33203125,4,2.58203125,0.79296875,20.0,0.18399711002006816,0.19615505451272824,0.02750699307050527,2.0
21,2.53125,0.5859375,0.33203125,4,2.79296875,0.79296875,21.0,0.09530380210104199,0.04394483105876969,0.02761433363360946,2.0
22,2.53125,0.5859375,0.33203125,4,2.58203125,0.10546875,22.0,0.18399711002006816,0.19615505451272824,0.02750699307050527,2.0
23,3.59375,4.8828125,0.12890625,4,2.79296875,0.10546875,23.0,0.18399711002006816,0.19615505451272824,0.02750699307050527,2.0
24,6.53125,5.5859375,0.83203125,2,7.08203125,0.29296875,24.0,0.18399711002006816,0.19615505451272824,0.02750699307050527,2.0
25,7.59375,5.5859375,0.83203125,2,7.08203125,0.29296875,25.0,0.12642859461197392,0.10769806793207148,0.0267040580677129,2.0
26,6.53125,9.8828125,0.83203125,2,7.08203125,0.29296875,26.0,0.09530380210104199,0.04394483105876969,0.02761433363360946,2.0
27,6.53125,5.5859375,0.62890625,2,7.08203125,0.29296875,27.0,0.12642859461197392,0.10769806793207148,0.0267040580677129,2.0
28,6.53125,5.5859375,0.83203125,2,7.08203125,0.29296875,28.0,0.12642859461197392,0.10769806793207148,0.0267040580677129,2.0
29,6.53125,5.5859375,0.83203125,2,7.29296875,0.29296875,29.0,0.09530380210104199,0.04394483105876969,0.02761433363360946,2.0
30,2.53125,0.5859375,0.33203125,4,2.58203125,0.79296875,30.0,0.18399711002006816,0.19615505451272824,0.02750699307050527,3.0
31,2.53125,0.5859375,0.33203125,4,2.79296875,0.79296875,31.0,0.18399711002006816,0.19615505451272824,0.02750699307050527,3.0
32,2.53125,0.5859375,0.33203125,4,2.58203125,0.10546875,32.0,0.18399711002006816,0.19615505451272824,0.02750699307050527,3.0
33,3.59375,4.8828125,0.12890625,4,2.79296875,0.10546875,33.0,0.09530380210104199,0.04394483105876969,0.02761433363360946,3.0
34,6.53125,5.5859375,0.83203125,2,7.08203125,0.29296875,34.0,0.09530380210104199,0.04394483105876969,0.02761433363360946,3.0
35,7.59375,5.5859375,0.83203125,2,7.08203125,0.29296875,35.0,0.06987061124870063,0.07262725354398147,0.02746744907990739,3.0
36,6.53125,9.8828125,0.83203125,2,7.08203125,0.29296875,36.0,0.09530380210104199,0.04394483105876969,0.02761433363360946,3.0
37,6.53125,5.5859375,0.62890625,2,7.08203125,0.29296875,37.0,0.06987061124870063,0.07262725354398147,0.02746744907990739,3.0
38,6.53125,5.5859375,0.83203125,2,7.08203125,0.29296875,38.0,0.06987061124870063,0.07262725354398147,0.02746744907990739,3.0
39,6.53125,5.5859375,0.83203125,2,7.29296875,0.29296875,39.0,0.09530380210104199,0.04394483105876969,0.02761433363360946,3.0
40,2.53125,0.5859375,0.33203125,4,2.58203125,0.79296875,40.0,0.12642859461197392,0.10769806793207148,0.0267040580677129,4.0
41,2.53125,0.5859375,0.33203125,4,2.79296875,0.79296875,41.0,0.18399711002006816,0.19615505451272824,0.02750699307050527,4.0
42,2.53125,0.5859375,0.33203125,4,2.58203125,0.10546875,42.0,0.18399711002006816,0.19615505451272824,0.02750699307050527,4.0
43,3.59375,4.8828125,0.12890625,4,2.79296875,0.10546875,43.0,0.18399711002006816,0.19615505451272824,0.02750699307050527,4.0
44,6.53125,5.5859375,0.83203125,2,7.08203125,0.29296875,44.0,0.18399711002006816,0.19615505451272824,0.02750699307050527,4.0
45,7.59375,5.5859375,0.83203125,2,7.08203125,0.29296875,45.0,0.20709905782796528,0.17633145487666835,0.027074632956950315,4.0
46,6.53125,9.8828125,0.83203125,2,7.08203125,0.29296875,46.0,0.18399711002006816,0.19615505451272824,0.02750699307050527,4.0
47,6.53125,5.5859375,0.62890625,2,7.08203125,0.29296875,47.0,0.20709905782796528,0.17633145487666835,0.027074632956950315,4.0
48,6.53125,5.5859375,0.83203125,2,7.08203125,0.29296875,48.0,0.18399711002006816,0.19615505451272824,0.02750699307050527,4.0
49,6.53125,5.5859375,0.83203125,2,7.29296875,0.29296875,49.0,0.18399711002006816,0.19615505451272824,0.02750699307050527,4.0
