,fermi_alpha,fermi_b,social_factor,connections_per_step,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
0,8.03125,7.4609375,0.51953125,4,4.26953125,0.23046875,0,0.2567966735318413,0.24051883568550866,0.0
35,7.09375,9.2578125,0.69140625,3,8.98046875,0.91796875,0,0.21786531172566945,0.21539735187921638,0.005629276826784629
30,8.03125,7.4609375,0.51953125,4,4.26953125,0.91796875,0,0.16805909714558714,0.15934391884372215,0.0
25,8.03125,7.4609375,0.51953125,4,8.98046875,0.23046875,0,0.10682757678245812,0.12448955238421722,0.0
21,8.03125,7.4609375,0.51953125,3,4.26953125,0.23046875,0,0.16038171062892245,0.11659361040371398,0.0061539153323942886
15,8.03125,7.4609375,0.69140625,4,4.26953125,0.23046875,0,0.2128883786019426,0.16998864804636185,0.0
45,5.09375,4.9609375,0.26953125,1,2.01953125,0.48046875,0,1.6929940982767695,1.4051427682114497,0.26881892558610043
9,8.03125,9.2578125,0.51953125,4,4.26953125,0.23046875,0,0.18202136580945777,0.16060747463791783,0.0
40,6.03125,4.9609375,0.26953125,1,2.01953125,0.48046875,0,1.6209368897528043,1.1775544175570214,0.09595968014910403
5,7.09375,7.4609375,0.51953125,4,4.26953125,0.23046875,0,0.10369855754117147,0.06482556220544197,0.0
3,8.03125,7.4609375,0.51953125,4,4.26953125,0.23046875,1,0.19930819213126547,0.19134016033596626,0.0
41,6.03125,4.9609375,0.26953125,1,2.01953125,0.48046875,1,1.5484320044691462,1.2754489572999645,0.12794669434832762
11,8.03125,9.2578125,0.51953125,4,4.26953125,0.23046875,1,0.31093546970424596,0.24491594528198565,1.1102230246251565e-16
6,7.09375,7.4609375,0.51953125,4,4.26953125,0.23046875,1,0.19426065845657814,0.13808564777188373,1.1102230246251565e-16
36,7.09375,9.2578125,0.69140625,3,8.98046875,0.91796875,1,0.1801647850143699,0.1690976475699038,0.009630764373072642
16,8.03125,7.4609375,0.69140625,4,4.26953125,0.23046875,1,0.1447647122152186,0.13740873869131082,0.0
26,8.03125,7.4609375,0.51953125,4,8.98046875,0.23046875,1,0.15959276447719345,0.1238164137263568,1.1102230246251565e-16
31,8.03125,7.4609375,0.51953125,4,4.26953125,0.91796875,1,0.29915210657314295,0.2054518714935018,0.0
22,8.03125,7.4609375,0.51953125,3,4.26953125,0.23046875,1,0.09956074759105606,0.06779049226365905,0.00959705293522517
47,5.09375,4.9609375,0.26953125,1,2.01953125,0.48046875,1,1.2228926367901136,1.05023097610721,0.07830981637800179
27,8.03125,7.4609375,0.51953125,4,8.98046875,0.23046875,2,0.14024151809223415,0.12018532924945205,0.0
7,7.09375,7.4609375,0.51953125,4,4.26953125,0.23046875,2,0.14184567746498863,0.10628943924471396,1.1102230246251565e-16
2,8.03125,7.4609375,0.51953125,4,4.26953125,0.23046875,2,0.25746466638118864,0.264171672664794,0.0
37,7.09375,9.2578125,0.69140625,3,8.98046875,0.91796875,2,0.11584033860209167,0.09366040866797529,0.0017815047482188096
43,6.03125,4.9609375,0.26953125,1,2.01953125,0.48046875,2,1.259952875306262,1.011375217183686,0.08045639253145068
32,8.03125,7.4609375,0.51953125,4,4.26953125,0.91796875,2,0.19034989757892848,0.14946789897517002,0.0
20,8.03125,7.4609375,0.51953125,3,4.26953125,0.23046875,2,0.2327554900553386,0.14632904303762215,0.004615754999692939
17,8.03125,7.4609375,0.69140625,4,4.26953125,0.23046875,2,0.2337045663092743,0.21956910644952116,1.1102230246251565e-16
12,8.03125,9.2578125,0.51953125,4,4.26953125,0.23046875,2,0.16868612161980984,0.15834161206458694,0.0
46,5.09375,4.9609375,0.26953125,1,2.01953125,0.48046875,2,1.366132769602358,1.0869150127099996,0.060874486216828685
23,8.03125,7.4609375,0.51953125,3,4.26953125,0.23046875,3,0.1473643541541314,0.13436979763578016,0.005863893528003983
28,8.03125,7.4609375,0.51953125,4,8.98046875,0.23046875,3,0.09625179383220632,0.11972197881613283,0.0
39,7.09375,9.2578125,0.69140625,3,8.98046875,0.91796875,3,0.17053746142535062,0.10053077280312855,0.0062932712616926845
18,8.03125,7.4609375,0.69140625,4,4.26953125,0.23046875,3,0.20946944061648012,0.20465749596380164,0.0
33,8.03125,7.4609375,0.51953125,4,4.26953125,0.91796875,3,0.278944351998595,0.23895443362835173,0.0
42,6.03125,4.9609375,0.26953125,1,2.01953125,0.48046875,3,1.9841237953771393,1.5157930818375904,0.08405910069293158
1,8.03125,7.4609375,0.51953125,4,4.26953125,0.23046875,3,0.13988281172453515,0.1459827792237296,0.0
14,8.03125,9.2578125,0.51953125,4,4.26953125,0.23046875,3,0.17564174484251005,0.15961157546499283,0.0
