,fermi_alpha,fermi_b,social_factor,connections_per_step,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
55,8.78125,7.7734375,0.98828125,2,1.73828125,0.76171875,0,1.4256740133885464,1.1582419022278607,0.0276023932568515
76,8.78125,7.7734375,0.98828125,3,1.73828125,0.76171875,0,1.4937210037246325,1.19165683370532,0.009420900747474592
60,3.34375,7.7734375,0.98828125,2,1.73828125,0.76171875,0,1.6196196530851388,1.2830721913171481,0.026406931564401742
18,7.34375,2.7734375,0.48828125,4,6.23828125,0.26171875,0,0.15694950920400394,0.13265590568132513,0.0
17,4.78125,2.7734375,0.48828125,4,6.23828125,0.26171875,0,0.20941575783949967,0.19509095842122215,0.0016428285928696829
41,4.78125,2.7734375,0.48828125,4,6.23828125,0.01171875,0,0.21092399103419124,0.18715829191538158,0.0011981119604312154
28,4.78125,2.7734375,0.28515625,4,6.23828125,0.26171875,0,0.19300057279859947,0.18754737889730788,0.001759491392743312
79,8.78125,7.7734375,0.98828125,2,9.82421875,0.76171875,0,0.07583998277176583,0.06787466196263292,0.027379666995941035
40,4.78125,2.7734375,0.48828125,4,5.32421875,0.26171875,0,0.19443310382972623,0.18744066837519271,0.00017014929606703263
85,8.78125,7.7734375,0.98828125,2,1.73828125,0.51171875,0,1.4866098674580486,1.174238133840726,0.028277914372023896
25,4.78125,7.0703125,0.48828125,4,6.23828125,0.26171875,0,0.127606269580251,0.10850018522356836,0.0
71,8.78125,7.7734375,0.78515625,2,1.73828125,0.76171875,0,1.482865883695241,1.1916587360338131,0.02745912899723933
32,4.78125,2.7734375,0.48828125,1,6.23828125,0.26171875,0,0.32116855976402675,0.2671155653778608,0.06563299523169819
8,2.34375,0.8203125,0.91015625,4,8.69921875,0.13671875,0,1.1833657560617512,0.8547282765662205,0.06824426167055599
63,8.78125,2.0703125,0.98828125,2,1.73828125,0.76171875,0,1.4772690182888033,1.1657247982197836,0.4350544902042942
6,5.78125,9.0234375,0.11328125,4,7.36328125,0.13671875,0,0.27499375074961385,0.2204943103235469,0.0
90,3.34375,2.0703125,0.78515625,3,9.82421875,0.51171875,0,0.29520020592914115,0.24809048170045708,0.048988701539239454
3,5.78125,9.0234375,0.11328125,4,8.69921875,0.13671875,0,0.17865488912843636,0.1755798006477028,0.0
49,7.34375,7.0703125,0.28515625,1,5.32421875,0.01171875,0,0.11734865668087026,0.13192775249752692,0.05456349769266033
62,3.34375,7.7734375,0.98828125,2,1.73828125,0.76171875,1,1.6265440551631976,1.3144663137848323,0.02731906200876843
35,4.78125,2.7734375,0.48828125,1,6.23828125,0.26171875,1,0.18372247656147614,0.16168433083925676,0.06332518487366191
26,4.78125,7.0703125,0.48828125,4,6.23828125,0.26171875,1,0.1593663435961317,0.1483498218195178,0.0
31,4.78125,2.7734375,0.28515625,4,6.23828125,0.26171875,1,0.2137023352255136,0.18691845256372278,0.0006080827868133187
