,fermi_alpha,fermi_b,social_factor,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
0,2.078125,3.8671875,0.58984375,0.296875,0.16015625,0,2.1489168401765126,1.7450637235993804,0.2161106555105249
69,1.671875,4.4296875,0.01171875,0.640625,0.91015625,0,2.1429831896559093,1.745651750238319,0.16430711514209875
57,1.671875,4.4296875,0.33984375,0.640625,0.49609375,0,2.1129169075893897,1.7277158648011532,0.20669855144916527
55,1.671875,5.3671875,0.01171875,0.640625,0.49609375,0,2.147843215503938,1.7342693474093545,0.09790147243488012
51,1.078125,4.4296875,0.01171875,0.640625,0.49609375,0,2.149902004143311,1.7363291453576235,0.11885389814069852
73,1.171875,0.6796875,0.38671875,0.140625,0.37109375,0,2.1641580287442514,1.7651615466834183,0.9524392960570277
45,1.671875,4.4296875,0.01171875,0.640625,0.49609375,0,2.128969794344016,1.708079670301173,0.16999370921351684
40,3.078125,2.3671875,0.83984375,1.296875,0.41015625,0,2.18049022650906,1.7657307225153798,0.5943745161363304
80,0.578125,0.6796875,0.38671875,0.140625,0.37109375,0,2.154220412657134,1.7516077152857934,0.9271951610318853
35,3.671875,1.4296875,0.51171875,2.640625,0.41015625,0,1.084387560457427,0.864046425728354,0.16327274635006994
82,1.078125,5.3671875,0.33984375,3.296875,0.91015625,0,0.19126454876824375,0.15882193451472962,0.0
31,3.671875,1.4296875,0.51171875,1.296875,0.99609375,0,2.170078047374273,1.7495346393062512,0.6131235575291021
24,3.671875,1.4296875,0.83984375,2.640625,0.99609375,0,1.925123267926564,1.5594665197064685,0.4651260435054572
20,3.671875,2.3671875,0.51171875,2.640625,0.99609375,0,1.9966015858373158,1.5910315629980398,0.48073744447362327
15,3.078125,1.4296875,0.51171875,2.640625,0.99609375,0,0.22632124229305278,0.2460893070331207,0.019033693650954947
65,1.671875,4.4296875,0.01171875,3.296875,0.49609375,0,0.8989134542522335,0.739522442098339,0.0037788842093441077
5,2.671875,5.9296875,0.26171875,1.640625,0.16015625,0,2.1062465267351644,1.7015773807768118,0.0
91,1.171875,1.6171875,0.38671875,0.140625,0.37109375,0,2.19173400518241,1.773531961843544,0.427003224361752
8,3.671875,1.4296875,0.51171875,2.640625,0.99609375,0,1.7297106037233858,1.3287454456611383,0.495562120889383
95,1.171875,0.6796875,0.96484375,0.140625,0.37109375,0,2.150683550297183,1.7700807070413873,0.9409903902055329
16,3.078125,1.4296875,0.51171875,2.640625,0.99609375,1,0.6053135753233454,0.49738352519924617,0.46882685649034295
76,1.171875,0.6796875,0.38671875,0.140625,0.37109375,1,2.1968504567613056,1.7837796097128402,0.9345534169550169
50,1.078125,4.4296875,0.01171875,0.640625,0.49609375,1,2.1557856526776513,1.7577324186807028,0.1486451719583043
41,3.078125,2.3671875,0.83984375,1.296875,0.41015625,1,2.1711971023397787,1.7460206619493657,0.6013323696664958
4,2.671875,5.9296875,0.26171875,1.640625,0.16015625,1,2.1863598459471913,1.7515159023978435,0.0010225104931157192
37,3.671875,1.4296875,0.51171875,2.640625,0.41015625,1,0.5612439784072867,0.48126956656782954,0.24377843591130338
71,1.671875,4.4296875,0.01171875,0.640625,0.91015625,1,2.164653941201476,1.7305836406078718,0.17469340944233244
66,1.671875,4.4296875,0.01171875,3.296875,0.49609375,1,0.14421530280068112,0.14452784840099564,0.0
96,1.171875,0.6796875,0.96484375,0.140625,0.37109375,1,2.138720954879919,1.7607142996534442,0.9318400000000012
30,3.671875,1.4296875,0.51171875,1.296875,0.99609375,1,2.1765969803697858,1.7583793698748154,0.6455930950357023
47,1.671875,4.4296875,0.01171875,0.640625,0.49609375,1,2.1555755062440243,1.7600554526897851,0.18494401465585744
84,1.078125,5.3671875,0.33984375,3.296875,0.91015625,1,0.22493329784966887,0.18276126931840525,0.0
56,1.671875,5.3671875,0.01171875,0.640625,0.49609375,1,2.133914986821301,1.7407035712699528,0.08695483470968571
26,3.671875,1.4296875,0.83984375,2.640625,0.99609375,1,1.7549193996088643,1.421131838611064,0.4998622011222347
12,3.671875,1.4296875,0.51171875,2.640625,0.99609375,1,1.6402998963903885,1.2936958192252987,0.48188719435462846
22,3.671875,2.3671875,0.51171875,2.640625,0.99609375,1,0.2543023353822438,0.19957228357782952,0.01848360704672769
1,2.078125,3.8671875,0.58984375,0.296875,0.16015625,1,2.0594678457231703,1.7001349599706486,0.22685149885990874
61,1.671875,4.4296875,0.33984375,0.640625,0.49609375,1,2.1268305331551027,1.7296998322397825,0.16711532829810957
90,1.171875,1.6171875,0.38671875,0.140625,0.37109375,1,2.1424876436517635,1.7567808256561948,0.46498617761703714
83,0.578125,0.6796875,0.38671875,0.140625,0.37109375,1,2.1733187562850733,1.7537346258084237,0.9248910027744741
70,1.671875,4.4296875,0.01171875,0.640625,0.91015625,2,2.1852959428606646,1.7845603972304644,0.16511724125730165
2,2.078125,3.8671875,0.58984375,0.296875,0.16015625,2,2.152559793370617,1.7461102602733023,0.21268659140086169
52,1.078125,4.4296875,0.01171875,0.640625,0.49609375,2,2.1310856927895165,1.740454865883345,0.17528453653213877
58,1.671875,5.3671875,0.01171875,0.640625,0.49609375,2,2.1716154718596905,1.7573404074448802,0.09388141763276814
68,1.671875,4.4296875,0.01171875,3.296875,0.49609375,2,0.5403287648086746,0.38113369364934513,0.0
62,1.671875,4.4296875,0.33984375,0.640625,0.49609375,2,2.1777208872813456,1.7503393763851198,0.17355795586605635
97,1.171875,0.6796875,0.96484375,0.140625,0.37109375,2,2.1916429915641524,1.7833801301839416,0.9593450657161946
7,2.671875,5.9296875,0.26171875,1.640625,0.16015625,2,1.8487430402517455,1.5476405089138465,0.0011768703231494204
27,3.671875,1.4296875,0.83984375,2.640625,0.99609375,2,1.7507115905105053,1.3982533351019382,0.4999481158830182
17,3.078125,1.4296875,0.51171875,2.640625,0.99609375,2,0.39105725501016925,0.3420542371084313,0.11498711602772616
92,1.171875,1.6171875,0.38671875,0.140625,0.37109375,2,2.188205021024978,1.7718384811437609,0.5501101129453005
21,3.671875,2.3671875,0.51171875,2.640625,0.99609375,2,1.3776576088299475,1.1156562653186355,0.4361980232219655
85,0.578125,0.6796875,0.38671875,0.140625,0.37109375,2,2.169455786840942,1.7705152549019822,0.9464274983474551
46,1.671875,4.4296875,0.01171875,0.640625,0.49609375,2,2.1834993719369784,1.7741910282916111,0.19143488684670495
11,3.671875,1.4296875,0.51171875,2.640625,0.99609375,2,1.507825067954609,1.1669816870288432,0.4707491132787312
32,3.671875,1.4296875,0.51171875,1.296875,0.99609375,2,2.0102587763642465,1.6227239563109945,0.5075618028651445
81,1.078125,5.3671875,0.33984375,3.296875,0.91015625,2,0.23795112771123217,0.226849750400756,0.0
36,3.671875,1.4296875,0.51171875,2.640625,0.41015625,2,0.9251636125156883,0.8085312706311667,0.4237865624304837
77,1.171875,0.6796875,0.38671875,0.140625,0.37109375,2,2.158848524508654,1.7475033629827177,0.9460801193755751
43,3.078125,2.3671875,0.83984375,1.296875,0.41015625,2,2.08348475688457,1.6891600217551472,0.48257113131294954
87,1.078125,5.3671875,0.33984375,3.296875,0.91015625,3,0.2448601318554523,0.2169826842585248,0.0
78,1.171875,0.6796875,0.38671875,0.140625,0.37109375,3,2.1690868168142488,1.7531642309289408,0.9384731833910034
88,0.578125,0.6796875,0.38671875,0.140625,0.37109375,3,2.183217234885702,1.7804748624168796,0.9410792620635777
67,1.671875,4.4296875,0.01171875,3.296875,0.49609375,3,0.30591549165790904,0.28525365344523795,0.0
93,1.171875,1.6171875,0.38671875,0.140625,0.37109375,3,2.184308615628189,1.7763530022170269,0.566111917237804
74,1.671875,4.4296875,0.01171875,0.640625,0.91015625,3,2.1939308011607443,1.7838648762435052,0.19925863254178547
49,1.671875,4.4296875,0.01171875,0.640625,0.49609375,3,2.1747923685344066,1.7577403176222135,0.1526294228886178
44,3.078125,2.3671875,0.83984375,1.296875,0.41015625,3,2.1341954217819024,1.7455537980110498,0.5321839020837297
28,3.671875,1.4296875,0.83984375,2.640625,0.99609375,3,1.6668968937104063,1.3325270917896637,0.4999757164948541
64,1.671875,4.4296875,0.33984375,0.640625,0.49609375,3,2.175916875028246,1.7756232591543453,0.17908077490715393
33,3.671875,1.4296875,0.51171875,1.296875,0.99609375,3,2.1361510057063477,1.7315218750489192,0.5981498290585961
38,3.671875,1.4296875,0.51171875,2.640625,0.41015625,3,0.4891972979495711,0.3926487410617528,0.1841912168534822
14,3.671875,1.4296875,0.51171875,2.640625,0.99609375,3,0.7718070251952908,0.6721607614856957,0.4479505557161577
19,3.078125,1.4296875,0.51171875,2.640625,0.99609375,3,1.6072151280944658,1.2386100794137078,0.4894460349491958
23,3.671875,2.3671875,0.51171875,2.640625,0.99609375,3,2.145967539865713,1.7095552109925882,0.4770310659788941
98,1.171875,0.6796875,0.96484375,0.140625,0.37109375,3,2.1655441034433744,1.7617933106062809,0.95456632653061
9,2.078125,3.8671875,0.58984375,0.296875,0.16015625,3,2.167883185430695,1.7584497897734432,0.2145380360273843
53,1.078125,4.4296875,0.01171875,0.640625,0.49609375,3,2.1638286941664107,1.7554948086872775,0.17008226409486712
