,fermi_alpha,fermi_b,social_factor,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
49,1.015625,0.8203125,0.01953125,1.296875,0.86328125,0,0.7305807235324521,0.61702053382337,0.0867455094443467
43,2.921875,1.4765625,0.01953125,1.296875,0.86328125,0,2.113557308006206,1.7376419974168549,0.4263002470328478
79,0.921875,4.4765625,0.51953125,3.296875,0.36328125,0,0.17204344669731725,0.19135384996404128,0.0
80,3.015625,4.4765625,0.51953125,3.296875,0.36328125,0,0.11448514884121745,0.10473961163090627,0.0
36,1.015625,1.4765625,0.01953125,1.296875,0.86328125,0,1.4406021415795744,1.1324198889786778,0.41842046826678514
34,3.421875,3.0703125,0.80078125,2.265625,0.98046875,0,1.637443602435645,1.277492927694832,0.47951777112731686
64,1.015625,1.4765625,0.01953125,1.296875,0.10546875,0,2.139908648477316,1.7353917093118842,0.5718996593757032
29,1.515625,3.7265625,0.39453125,1.796875,0.98046875,0,1.6522154175145793,1.3337147492341572,0.3260140342833654
86,3.015625,3.8203125,0.51953125,3.296875,0.36328125,0,0.17771258364686746,0.16956924602538787,0.0007445877694457897
25,1.515625,3.7265625,0.39453125,2.265625,0.98828125,0,0.6155694586517937,0.6222379649879366,0.08312119557192532
20,1.515625,3.7265625,0.80078125,1.796875,0.98828125,0,1.57256536636102,1.240263674271246,0.19771029033575138
90,3.015625,4.4765625,0.92578125,3.296875,0.36328125,0,0.23453665240285843,0.20924435679118,1.1102230246251565e-16
14,1.515625,3.0703125,0.39453125,1.796875,0.98828125,0,1.4199081186525324,1.1493672395423067,0.22580621222137626
55,1.015625,1.4765625,0.42578125,1.296875,0.86328125,0,1.2506344094878443,0.9974030040277686,0.12188492139413347
95,3.015625,4.4765625,0.51953125,2.765625,0.36328125,0,0.21148975432501696,0.17896282023727905,0.0
4,1.421875,0.0703125,0.30078125,0.265625,0.48046875,0,0.20051996240171951,0.1533335779415237,0.552078477361459
70,2.921875,0.8203125,0.42578125,0.765625,0.10546875,0,1.637839957195261,1.2877531693580355,0.6061242348896769
60,1.015625,1.4765625,0.01953125,0.765625,0.86328125,0,0.33902163825894305,0.2772044925925213,0.07879735183490301
11,3.421875,3.7265625,0.39453125,1.796875,0.98828125,0,1.651426628523597,1.3367310739259561,0.3953593301837699
7,1.515625,3.7265625,0.39453125,1.796875,0.98828125,0,2.0958920981643585,1.6090271231793185,0.24379947777377234
96,3.015625,4.4765625,0.51953125,2.765625,0.36328125,1,0.31689608309636297,0.264418622997776,0.0
1,1.421875,0.0703125,0.30078125,0.265625,0.48046875,1,0.14079590353256513,0.11652247416226114,0.64566519908827
62,1.015625,1.4765625,0.01953125,1.296875,0.10546875,1,2.1771521652165213,1.7605504097366633,0.5326290100159674
40,1.015625,1.4765625,0.01953125,1.296875,0.86328125,1,1.3707340292784074,1.0591672232480653,0.3297900509903971
81,0.921875,4.4765625,0.51953125,3.296875,0.36328125,1,0.16416173251296814,0.15192574393956026,0.0
