,fermi_alpha,fermi_b,social_factor,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
86,1.421875,5.5546875,0.94921875,0.546875,0.93359375,0,2.1246069923971587,1.7183444213060837,0.04986250122538449
50,3.421875,2.5546875,0.15234375,3.390625,0.43359375,0,0.25673654939105245,0.20107927285232755,0.004563153739796044
92,1.421875,5.5546875,0.94921875,1.390625,0.72265625,0,2.1274114303936495,1.7389055474886062,0.06585894800980072
62,3.421875,2.5546875,0.44921875,3.390625,0.22265625,0,0.12003614096624948,0.10344331417321292,3.6846662601045625e-05
34,2.328125,2.5546875,0.44921875,3.390625,0.43359375,0,0.4014093063052765,0.3630585465600604,0.0034846751187467273
35,3.421875,0.4921875,0.44921875,3.390625,0.43359375,0,0.3421191620943506,0.19835623578068562,0.04751453612862036
67,1.421875,5.5546875,0.94921875,1.390625,0.93359375,0,2.1636211395707186,1.7597215535201962,0.06772077765427234
16,2.421875,4.0546875,0.69921875,0.390625,0.47265625,0,2.023491363481476,1.6309241285108436,0.1811796690220466
15,2.421875,4.0546875,0.69921875,3.546875,0.18359375,0,0.23840970444292053,0.18714060823817716,0.0
68,0.328125,5.5546875,0.94921875,1.390625,0.93359375,0,1.507102831903206,1.214754486185274,0.03950996925465859
25,3.328125,4.9921875,0.40234375,3.546875,0.47265625,0,0.12572458997386476,0.13562822535314412,0.0
26,3.421875,2.5546875,0.44921875,3.390625,0.43359375,0,0.36489253684379563,0.3085405723789433,0.002248921395412005
53,2.328125,0.4921875,0.15234375,2.546875,0.22265625,0,1.5357296815684347,1.1385803078363002,0.2680732461355529
9,2.421875,4.0546875,0.40234375,0.390625,0.18359375,0,1.9156974770016097,1.5880317233267647,0.2436409923911284
6,2.421875,4.9921875,0.69921875,0.390625,0.18359375,0,2.1556596533318664,1.7445478511971717,0.09314048659134999
51,3.421875,2.5546875,0.44921875,2.546875,0.43359375,0,0.2535947287398611,0.2389440773459777,0.030367244504692012
89,0.328125,3.4921875,0.65234375,0.546875,0.72265625,0,1.683181521481148,1.3044045474194177,0.1260103489033048
3,3.328125,4.0546875,0.69921875,0.390625,0.18359375,0,2.090083903854527,1.7276432303811633,0.19650717763915093
80,1.421875,5.5546875,0.65234375,1.390625,0.93359375,0,2.155045309484376,1.7654532253405792,0.07894034860593618
73,1.421875,3.4921875,0.94921875,1.390625,0.93359375,0,1.5653629295253884,1.2810185894660682,0.3890455745982355
38,2.328125,2.5546875,0.44921875,3.390625,0.43359375,1,0.17580398537011843,0.19443079640535887,0.0009886347820300123
40,3.421875,0.4921875,0.44921875,3.390625,0.43359375,1,0.5306901316581594,0.42264261649337653,0.046160595094458835
81,1.421875,5.5546875,0.65234375,1.390625,0.93359375,1,1.7456427117614153,1.3837632086978826,0.010261399379906888
91,0.328125,3.4921875,0.65234375,0.546875,0.72265625,1,1.9378726277651164,1.5859440950630495,0.13422415655445316
45,3.421875,2.5546875,0.44921875,2.546875,0.43359375,1,1.9182796387254506,1.561202482096716,0.3180257999746081
28,3.421875,2.5546875,0.44921875,3.390625,0.43359375,1,0.09708411318037792,0.09737253375904745,1.1102230246251565e-16
56,2.328125,0.4921875,0.15234375,2.546875,0.22265625,1,1.4534657054895375,1.1643473338920178,0.6322361591695503
