,connections_per_step,Run,altieri_entropy_index,graph_modularity
1,1,0,1.8023916924776513,0.44101896662857243
20,5,0,1.8804997187406007,0.4409207293322801
5,2,0,1.7267057671799384,0.3831227614380962
15,4,0,1.9936720862177788,0.46809819760794436
10,3,0,0.777936641421757,0.20293895933113743
0,1,1,2.1668412502185537,0.3963252097196514
21,5,1,1.6420270059650908,0.4271987186831279
6,2,1,1.8720145788833296,0.3839871779595787
17,4,1,2.0410783475666583,0.3833483831747739
11,3,1,1.702056247165997,0.38841913740830325
22,5,2,1.7692461031856015,0.41260269796201854
16,4,2,1.7586171703403588,0.3425899113549985
12,3,2,2.1922840354454243,0.3633634557101616
7,2,2,2.091969742508456,0.4267153321239846
4,1,2,1.9886303940707706,0.36324101689871124
13,3,3,2.1478825716454315,0.377722681068743
8,2,3,2.143687584800938,0.39234414374771376
19,4,3,1.7754722180516667,0.47603604194230226
3,1,3,1.9536388532055804,0.4245913865235812
23,5,3,1.704666784995406,0.3947561881559523
14,3,4,1.7026399222802375,0.43325317133179414
9,2,4,1.9199963255841708,0.44831967529083205
18,4,4,2.0884020569464132,0.37862736880512
2,1,4,2.077845087857964,0.44694929004266915
24,5,4,1.90100120134826,0.4664244206399215
